iter	Passed	Remaining
0	415	41148
1	702	34430
2	756	24471
3	806	19356
4	855	16263
5	916	14363
6	1009	13413
7	1062	12221
8	1118	11309
9	1284	11557
10	1370	11090
11	1485	10896
12	1531	10248
13	1582	9718
14	1626	9214
15	1669	8764
16	1715	8375
17	1775	8087
18	1945	8295
19	2029	8117
20	2083	7836
21	2155	7640
22	2209	7395
23	2280	7220
24	2463	7391
25	2579	7340
26	2659	7191
27	2721	6997
28	2876	7043
29	3048	7113
30	3165	7046
31	3335	7087
32	3462	7029
33	3565	6921
34	3686	6846
35	3969	7057
36	4059	6912
37	4138	6752
38	4315	6749
39	4480	6721
40	4574	6583
41	4652	6425
42	4735	6276
43	4825	6141
44	4905	5995
45	4985	5852
46	5093	5743
47	5181	5613
48	5260	5475
49	5317	5317
50	5393	5181
51	5457	5037
52	5524	4898
53	5636	4801
54	5731	4689
55	5820	4573
56	5896	4448
57	5946	4306
58	6008	4175
59	6075	4050
60	6151	3932
61	6204	3802
62	6265	3679
63	6331	3561
64	6385	3438
65	6447	3321
66	6633	3267
67	6768	3185
68	6928	3112
69	7364	3156
70	7645	3122
71	7723	3003
72	7792	2882
73	7855	2759
74	7925	2641
75	7988	2522
76	8053	2405
77	8138	2295
78	8196	2178
79	8261	2065
80	8327	1953
81	8384	1840
82	8449	1730
83	8520	1622
84	8577	1513
85	8651	1408
86	8713	1302
87	8775	1196
88	8835	1092
89	8900	988
90	8967	886
91	9029	785
92	9096	684
93	9153	584
94	9214	484
95	9270	386
96	9349	289
97	9410	192
98	9473	95
99	9524	0
